"","student_id","group_ids_together","grade","numerical_grade_equivalent"
"48",29764,"CCC, 2014B","HD",7
"49",29769,"FFF, 2013J","Cr",5
"50",29820,"CCC, 2014B","D",6
"51",29820,"EEE, 2014B","D",6
"52",29985,"GGG, 2014B","Cr",5
"53",30091,"BBB, 2013J","D",6
"54",30096,"CCC, 2014J","HD",7
"55",30531,"FFF, 2014B","HD",7
"56",30549,"DDD, 2013J","F",1.5
"57",30850,"CCC, 2014J","HD",7
"58",31014,"BBB, 2013J","WNF",NA
"59",31107,"GGG, 2014B","HD",7
"60",31161,"CCC, 2014J","HD",7
"61",31173,"DDD, 2013J","F",1.5
"62",31205,"GGG, 2014J","HD",7
"63",31269,"DDD, 2014B","WNF",NA
"64",31296,"FFF, 2014J","P",4
"65",31600,"AAA, 2014J","P",4
"66",31604,"AAA, 2013J","D",6
"67",31663,"BBB, 2013B","P",4
"68",31849,"BBB, 2013J","Cr",5
"69",32221,"FFF, 2013J","HD",7
"70",32239,"GGG, 2013J","D",6
"71",32327,"BBB, 2014J","WNF",NA
"72",32885,"AAA, 2013J","P",4
"73",32930,"BBB, 2014J","P",4
"74",33387,"DDD, 2013J","WNF",NA
"75",33600,"FFF, 2013J","WNF",NA
"76",33666,"BBB, 2013B","WNF",NA
"77",33681,"DDD, 2013J","WNF",NA
"78",33681,"DDD, 2014J","Cr",5
"79",33796,"DDD, 2014J","P",4
"80",33897,"DDD, 2013J","WNF",NA
"81",33897,"DDD, 2014J","WNF",NA
"82",33915,"FFF, 2013B","HD",7
"83",33930,"DDD, 2013J","D",6
"84",34068,"CCC, 2014J","WNF",NA
"85",34087,"DDD, 2013J","WNF",NA
"86",34087,"DDD, 2014J","D",6
"87",34229,"BBB, 2013B","D",6
"88",34293,"FFF, 2014B","WNF",NA
"89",34353,"BBB, 2013B","D",6
"90",34431,"BBB, 2013B","WNF",NA
"91",34653,"DDD, 2013J","F",1.5
"92",34662,"BBB, 2014J","WNF",NA
"93",34731,"FFF, 2013J","WNF",NA
"94",34756,"BBB, 2013B","WNF",NA
"95",34863,"BBB, 2013B","P",4
"96",35001,"GGG, 2013J","D",6
"97",35340,"EEE, 2014B","D",6
"98",35355,"CCC, 2014J","WNF",NA
"99",35355,"EEE, 2013J","D",6
"100",35502,"DDD, 2014B","WNF",NA
"101",35508,"CCC, 2014J","D",6
"102",35508,"EEE, 2014B","HD",7
"103",35544,"FFF, 2013B","D",6
"104",35747,"FFF, 2014J","WNF",NA
"105",35796,"FFF, 2014J","D",6
"106",35812,"BBB, 2013B","Cr",5
"107",35860,"FFF, 2013B","D",6
"108",36347,"FFF, 2014B","Cr",5
"109",36385,"FFF, 2013B","WNF",NA
"110",37298,"FFF, 2013B","HD",7
"111",37622,"BBB, 2013J","Cr",5
"112",37652,"CCC, 2014J","HD",7
"113",38053,"AAA, 2013J","Cr",5
"114",38234,"BBB, 2013J","Cr",5
"115",38711,"BBB, 2014J","WNF",NA
"116",38941,"BBB, 2014B","D",6
"117",39208,"BBB, 2014J","Cr",5
"118",39411,"DDD, 2013J","Cr",5
"119",39427,"DDD, 2013J","WNF",NA
"120",39655,"BBB, 2013B","D",6
"121",39660,"DDD, 2014B","P",4
"122",39882,"FFF, 2014B","Cr",5
"123",40184,"DDD, 2013J","HD",7
"124",40419,"DDD, 2013B","WNF",NA
"125",40419,"DDD, 2013J","Cr",5
"126",40563,"DDD, 2013J","P",4
"127",40604,"CCC, 2014B","P",4
"128",40857,"FFF, 2014J","WNF",NA
"129",40878,"FFF, 2014J","HD",7
"130",41060,"DDD, 2013B","D",6
"131",41414,"GGG, 2014B","D",6
"132",41547,"BBB, 2014J","F",1.5
"133",42552,"FFF, 2014J","Cr",5
"134",42616,"FFF, 2013J","Cr",5
"135",42638,"CCC, 2014B","Cr",5
"136",42638,"EEE, 2013J","D",6
"137",42668,"FFF, 2013B","D",6
"138",42746,"CCC, 2014J","HD",7
"139",42746,"FFF, 2014B","HD",7
"140",42818,"DDD, 2013J","F",1.5
"141",43273,"FFF, 2013B","Cr",5
"142",43284,"DDD, 2013B","WNF",NA
"143",43430,"FFF, 2013B","HD",7
"144",43564,"EEE, 2013J","HD",7
"145",43958,"FFF, 2013J","WNF",NA
"146",43958,"FFF, 2014J","HD",7
"147",45423,"FFF, 2014J","P",4
"148",45462,"AAA, 2013J","Cr",5
"149",45642,"AAA, 2013J","Cr",5
"150",45664,"CCC, 2014B","WNF",NA
"151",45664,"DDD, 2013B","P",4
"152",46016,"DDD, 2014J","WNF",NA
"153",46148,"FFF, 2014B","HD",7
"154",46605,"CCC, 2014B","HD",7
"155",46705,"CCC, 2014J","D",6
"156",46753,"DDD, 2014B","P",4
"157",46812,"DDD, 2014J","WNF",NA
"158",46844,"AAA, 2014J","Cr",5
"159",47061,"EEE, 2014J","Cr",5
"160",47063,"DDD, 2013J","WNF",NA
"161",47855,"BBB, 2013J","WNF",NA
"162",47861,"FFF, 2014J","P",4
"163",47891,"BBB, 2014J","F",1.5
"164",47924,"FFF, 2013J","F",1.5
"165",48040,"BBB, 2013J","P",4
"166",48152,"DDD, 2013J","P",4
"167",48503,"BBB, 2013J","Cr",5
"168",48635,"CCC, 2014J","WNF",NA
"169",48635,"FFF, 2014B","D",6
"170",49119,"CCC, 2014B","HD",7
"171",49119,"DDD, 2014B","WNF",NA
"172",49123,"GGG, 2014B","HD",7
"173",50069,"BBB, 2014B","D",6
"174",50263,"CCC, 2014B","WNF",NA
"175",50263,"FFF, 2013B","D",6
"176",50476,"DDD, 2014B","HD",7
"177",50487,"FFF, 2013J","D",6
"178",50610,"DDD, 2013J","HD",7
"179",50993,"BBB, 2013B","F",1.5
"180",51030,"DDD, 2014B","D",6
"181",51033,"DDD, 2014J","Cr",5
"182",51153,"DDD, 2014J","P",4
"183",51163,"DDD, 2013J","Cr",5
"184",51301,"BBB, 2013J","WNF",NA
"185",51485,"FFF, 2013J","HD",7
"186",51576,"CCC, 2014B","WNF",NA
"187",51576,"CCC, 2014J","WNF",NA
"188",51576,"FFF, 2013J","D",6
"189",51955,"DDD, 2014J","F",1.5
"190",52014,"DDD, 2013B","F",1.5
"191",52130,"AAA, 2013J","Cr",5
"192",52275,"FFF, 2014J","F",1.5
"193",52426,"BBB, 2014B","P",4
"194",52702,"GGG, 2014J","HD",7
"195",52765,"AAA, 2014J","P",4
"196",52797,"BBB, 2013J","D",6
"197",52899,"BBB, 2013B","WNF",NA
"198",52899,"BBB, 2013J","Cr",5
"199",53025,"AAA, 2013J","D",6
"200",53136,"FFF, 2014B","Cr",5
"201",53166,"FFF, 2013J","Cr",5
"202",53197,"FFF, 2013B","F",1.5
"203",53300,"CCC, 2014J","HD",7
"204",53488,"DDD, 2013B","D",6
"205",53632,"DDD, 2014B","WNF",NA
"206",53632,"DDD, 2014J","HD",7
"207",53709,"FFF, 2013B","WNF",NA
"208",53709,"FFF, 2014B","D",6
"209",54062,"CCC, 2014J","WNF",NA
"210",54062,"EEE, 2013J","HD",7
"211",54391,"CCC, 2014B","WNF",NA
"212",54810,"DDD, 2014B","WNF",NA
"213",54810,"DDD, 2014J","P",4
"214",54867,"FFF, 2014B","Cr",5
"215",54882,"FFF, 2013J","F",1.5
"216",55013,"FFF, 2013J","P",4
"217",55026,"BBB, 2013J","P",4
"218",55104,"AAA, 2014J","Cr",5
"219",55419,"FFF, 2013J","WNF",NA
"220",55450,"FFF, 2013B","Cr",5
"221",55968,"BBB, 2014B","P",4
"222",56637,"FFF, 2014J","HD",7
"223",56667,"FFF, 2014J","Cr",5
"224",56789,"BBB, 2013J","Cr",5
"225",57079,"BBB, 2013J","Cr",5
"226",57227,"DDD, 2013J","D",6
"227",57285,"BBB, 2014J","Cr",5
"228",57340,"CCC, 2014B","Cr",5
"229",57506,"AAA, 2013J","Cr",5
"230",57818,"DDD, 2013J","HD",7
"231",57844,"FFF, 2013J","D",6
"232",58071,"AAA, 2014J","D",6
"233",58089,"BBB, 2013B","D",6
"234",58316,"AAA, 2014J","Cr",5
"235",58549,"FFF, 2013B","HD",7
"236",58617,"DDD, 2014B","F",1.5
"237",58640,"FFF, 2013J","P",4
"238",58653,"BBB, 2014J","Cr",5
"239",58731,"DDD, 2014J","P",4
"240",58873,"AAA, 2013J","Cr",5
"241",58884,"FFF, 2014J","HD",7
"242",59185,"AAA, 2013J","D",6
"243",59272,"BBB, 2014J","Cr",5
"244",59275,"DDD, 2013J","P",4
"245",59370,"DDD, 2013J","P",4
"246",59541,"CCC, 2014B","WNF",NA
"247",59725,"BBB, 2014B","D",6
"248",60135,"DDD, 2013B","P",4
"249",60162,"GGG, 2014J","D",6
"250",60405,"GGG, 2013J","HD",7
"251",60416,"BBB, 2014B","Cr",5
"252",60519,"FFF, 2013B","WNF",NA
"253",60809,"CCC, 2014J","Cr",5
"254",60809,"EEE, 2014J","HD",7
"255",60830,"BBB, 2014B","Cr",5
"256",61227,"CCC, 2014J","Cr",5
"257",61236,"CCC, 2014J","WNF",NA
"258",61352,"BBB, 2014J","WNF",NA
"259",61911,"DDD, 2014B","D",6
"260",62034,"EEE, 2014J","D",6
"261",62155,"AAA, 2013J","D",6
"262",62278,"CCC, 2014B","Cr",5
"263",62487,"AAA, 2014J","Cr",5
"264",62631,"BBB, 2013B","Cr",5
"265",62975,"GGG, 2013J","HD",7
"266",63015,"DDD, 2014J","Cr",5
"267",63044,"BBB, 2013J","P",4
"268",63112,"EEE, 2013J","HD",7
"269",63112,"FFF, 2014J","WNF",NA
"270",63165,"AAA, 2014J","P",4
"271",63295,"FFF, 2013J","P",4
"272",63371,"CCC, 2014J","Cr",5
"273",63400,"AAA, 2013J","Cr",5
"274",63467,"BBB, 2014J","D",6
"275",63566,"DDD, 2013J","P",4
"276",63721,"BBB, 2014B","D",6
"277",63827,"DDD, 2014J","WNF",NA
"278",63856,"DDD, 2013J","F",1.5
"279",63949,"GGG, 2014J","HD",7
"280",64275,"BBB, 2014B","Cr",5
"281",64296,"CCC, 2014B","HD",7
"282",64296,"EEE, 2014B","HD",7
"283",64388,"FFF, 2013J","P",4
"284",64427,"FFF, 2014J","D",6
"285",64450,"DDD, 2014B","F",1.5
"286",64767,"DDD, 2014B","WNF",NA
"287",64901,"GGG, 2014B","Cr",5
"288",65002,"AAA, 2013J","WNF",NA
"289",65002,"AAA, 2014J","Cr",5
"290",65656,"FFF, 2013B","P",4
"291",66047,"DDD, 2013J","WNF",NA
"292",66254,"CCC, 2014B","Cr",5
"293",66451,"FFF, 2013J","D",6
"294",66577,"DDD, 2013J","D",6
"295",66579,"DDD, 2013B","P",4
"296",66713,"EEE, 2013J","D",6
"297",66892,"FFF, 2014J","WNF",NA
"298",67182,"GGG, 2013J","D",6
"299",67471,"DDD, 2013J","P",4
"300",67505,"DDD, 2013J","Cr",5
"301",67539,"EEE, 2014J","Cr",5
"302",67602,"DDD, 2013B","F",1.5
"303",67685,"EEE, 2014J","D",6
"304",67781,"DDD, 2014B","D",6
"305",67785,"DDD, 2013B","P",4
"306",67986,"FFF, 2014B","WNF",NA
"307",68011,"DDD, 2013J","WNF",NA
"308",68107,"FFF, 2013J","HD",7
"309",68208,"FFF, 2013B","P",4
"310",68376,"DDD, 2013J","Cr",5
"311",68417,"DDD, 2014J","Cr",5
"312",68556,"BBB, 2013J","Cr",5
"313",69346,"FFF, 2013J","WNF",NA
"314",69439,"FFF, 2014J","WNF",NA
"315",69491,"DDD, 2013B","P",4
"316",69494,"CCC, 2014B","WNF",NA
"317",69494,"CCC, 2014J","WNF",NA
"318",69703,"CCC, 2014B","D",6
"319",70011,"AAA, 2014J","D",6
"320",70214,"CCC, 2014J","WNF",NA
"321",70214,"EEE, 2013J","F",1.5
"322",70381,"CCC, 2014B","D",6
"323",70464,"AAA, 2013J","P",4
"324",70495,"CCC, 2014J","HD",7
"325",70495,"FFF, 2013J","HD",7
"326",70537,"EEE, 2014B","D",6
"327",70569,"BBB, 2014J","Cr",5
"328",70608,"BBB, 2013B","D",6
"329",70771,"CCC, 2014B","WNF",NA
"330",70827,"EEE, 2014J","WNF",NA
"331",71159,"FFF, 2014J","P",4
"332",71209,"DDD, 2013J","P",4
"333",71252,"FFF, 2013J","D",6
"334",71361,"AAA, 2013J","D",6
"335",71504,"BBB, 2014J","D",6
"336",71578,"FFF, 2013B","D",6
"337",71676,"DDD, 2014J","P",4
"338",71723,"CCC, 2014J","Cr",5
"339",71723,"DDD, 2014B","F",1.5
"340",72114,"FFF, 2014B","HD",7
"341",72400,"BBB, 2014B","D",6
"342",72609,"CCC, 2014J","F",1.5
"343",72693,"FFF, 2013B","D",6
"344",72864,"FFF, 2013J","Cr",5
"345",73019,"DDD, 2014J","F",1.5
"346",73489,"BBB, 2013J","Cr",5
"347",73584,"BBB, 2014J","WNF",NA
"348",73664,"DDD, 2014J","F",1.5
"349",73874,"BBB, 2014J","WNF",NA
"350",74113,"FFF, 2013B","P",4
"351",74165,"FFF, 2014J","D",6
"352",74290,"CCC, 2014B","WNF",NA
"353",74290,"CCC, 2014J","WNF",NA
"354",74372,"AAA, 2013J","F",1.5
"355",74502,"DDD, 2013J","P",4
"356",74521,"FFF, 2014B","P",4
"357",74524,"FFF, 2014B","HD",7
"358",74585,"BBB, 2013J","HD",7
"359",74695,"BBB, 2013B","HD",7
"360",74734,"BBB, 2013B","D",6
"361",75091,"AAA, 2013J","Cr",5
"362",75107,"FFF, 2014J","HD",7
"363",75255,"AAA, 2014J","D",6
"364",75399,"BBB, 2013B","P",4
"365",75427,"DDD, 2014J","P",4
"366",75454,"CCC, 2014B","Cr",5
"367",75728,"CCC, 2014B","Cr",5
"368",76081,"DDD, 2014B","WNF",NA
"369",76081,"DDD, 2014J","Cr",5
"370",76536,"DDD, 2013B","Cr",5
"371",76579,"EEE, 2013J","WNF",NA
"372",76579,"EEE, 2014J","P",4
"373",76949,"CCC, 2014J","D",6
"374",77241,"DDD, 2013J","WNF",NA
"375",77367,"AAA, 2013J","Cr",5
"376",77692,"FFF, 2014J","D",6
"377",77744,"FFF, 2013J","D",6
"378",77746,"FFF, 2013J","Cr",5
"379",77763,"DDD, 2013B","D",6
"380",77845,"FFF, 2014B","P",4
"381",77995,"FFF, 2014J","Cr",5
"382",77998,"FFF, 2013B","WNF",NA
"383",77998,"FFF, 2014B","P",4
"384",78170,"DDD, 2013J","P",4
"385",78255,"BBB, 2013J","WNF",NA
"386",78255,"BBB, 2014B","Cr",5
"387",78645,"BBB, 2013B","Cr",5
"388",79261,"FFF, 2013J","D",6
"389",79403,"AAA, 2014J","WNF",NA
"390",79461,"CCC, 2014B","WNF",NA
"391",79610,"FFF, 2014J","HD",7
"392",79683,"FFF, 2014B","WNF",NA
"393",80329,"CCC, 2014B","WNF",NA
"394",80329,"CCC, 2014J","Cr",5
"395",80329,"DDD, 2013J","WNF",NA
"396",80329,"DDD, 2014J","D",6
"397",80358,"EEE, 2014J","P",4
"398",80438,"FFF, 2014J","P",4
"399",80448,"GGG, 2013J","WNF",NA
"400",80491,"CCC, 2014J","WNF",NA
"401",80717,"BBB, 2013J","HD",7
"402",80745,"FFF, 2013B","D",6
"403",80775,"DDD, 2014J","D",6
"404",80868,"CCC, 2014J","D",6
"405",80868,"DDD, 2013J","Cr",5
"406",80886,"FFF, 2013B","WNF",NA
"407",81351,"DDD, 2013B","F",1.5
"408",81536,"FFF, 2013J","Cr",5
"409",81754,"GGG, 2014B","WNF",NA
"410",82088,"DDD, 2013J","D",6
"411",82201,"FFF, 2014B","WNF",NA
"412",82201,"FFF, 2014J","Cr",5
"413",82341,"GGG, 2013J","D",6
"414",82535,"BBB, 2013B","P",4
"415",82556,"FFF, 2013B","P",4
"416",82575,"CCC, 2014B","HD",7
"417",82741,"BBB, 2013B","Cr",5
"418",82817,"FFF, 2013B","D",6
"419",83219,"CCC, 2014B","Cr",5
"420",83219,"EEE, 2014B","D",6
"421",83254,"BBB, 2013B","P",4
"422",83453,"CCC, 2014B","WNF",NA
"423",83553,"DDD, 2014J","P",4
"424",83588,"DDD, 2013J","Cr",5
"425",83603,"FFF, 2014B","Cr",5
"426",84051,"FFF, 2013B","D",6
"427",84245,"BBB, 2013B","HD",7
"428",84299,"CCC, 2014B","WNF",NA
"429",84299,"FFF, 2014B","D",6
"430",84541,"BBB, 2014J","Cr",5
"431",84576,"DDD, 2014B","Cr",5
"432",84604,"FFF, 2014J","HD",7
"433",84605,"DDD, 2013J","WNF",NA
"434",84605,"DDD, 2014B","D",6
"435",84664,"BBB, 2013B","D",6
"436",84812,"BBB, 2013J","HD",7
"437",85092,"AAA, 2014J","P",4
"438",85144,"AAA, 2014J","D",6
"439",85241,"FFF, 2014J","WNF",NA
"440",85302,"AAA, 2014J","Cr",5
"441",85325,"DDD, 2013J","WNF",NA
"442",85874,"FFF, 2014B","WNF",NA
"443",86047,"CCC, 2014B","WNF",NA
"444",86047,"DDD, 2013B","F",1.5
"445",86291,"BBB, 2013B","WNF",NA
"446",86291,"BBB, 2013J","P",4
"447",86538,"FFF, 2013B","WNF",NA
"448",86669,"FFF, 2013J","HD",7
"449",87107,"DDD, 2013B","P",4
"450",87152,"FFF, 2013B","D",6
"451",87264,"FFF, 2014J","HD",7
"452",87322,"FFF, 2014J","D",6
"453",87431,"AAA, 2014J","WNF",NA
"454",87732,"BBB, 2013B","Cr",5
"455",87929,"GGG, 2013J","HD",7
"456",88340,"BBB, 2014B","WNF",NA
"457",88439,"DDD, 2014J","D",6
"458",88490,"DDD, 2014B","HD",7
"459",88568,"EEE, 2013J","HD",7
"460",88781,"FFF, 2013J","P",4
"461",88910,"DDD, 2014B","P",4
"462",89051,"DDD, 2013B","D",6
"463",89092,"BBB, 2014B","Cr",5
"464",89188,"DDD, 2013J","P",4
"465",89545,"EEE, 2014J","D",6
"466",89727,"DDD, 2013J","P",4
"467",89778,"BBB, 2014B","HD",7
"468",89850,"BBB, 2014J","D",6
"469",89895,"FFF, 2013B","Cr",5
"470",89904,"DDD, 2014B","D",6
"471",90243,"BBB, 2013J","P",4
"472",90361,"BBB, 2014B","Cr",5
"473",90537,"DDD, 2014B","Cr",5
"474",90901,"FFF, 2013J","HD",7
"475",90979,"DDD, 2013J","F",1.5
"476",91040,"CCC, 2014J","WNF",NA
"477",91265,"AAA, 2013J","Cr",5
"478",91322,"BBB, 2013B","Cr",5
"479",91354,"DDD, 2013J","WNF",NA
"480",91470,"DDD, 2014J","P",4
"481",91629,"FFF, 2013J","Cr",5
"482",91801,"FFF, 2014J","WNF",NA
"483",92274,"BBB, 2013B","WNF",NA
"484",92341,"BBB, 2014B","Cr",5
"485",92391,"DDD, 2013J","F",1.5
"486",92775,"DDD, 2013B","F",1.5
"487",92832,"BBB, 2013B","Cr",5
"488",92947,"BBB, 2013B","D",6
"489",92993,"BBB, 2013B","Cr",5
"490",94484,"CCC, 2014B","HD",7
"491",94616,"BBB, 2013B","Cr",5
"492",94749,"FFF, 2014J","P",4
"493",94923,"DDD, 2013B","P",4
"494",94961,"AAA, 2013J","WNF",NA
"495",94961,"AAA, 2014J","P",4
"496",94964,"DDD, 2013B","P",4
"497",94978,"CCC, 2014J","WNF",NA
"498",95356,"DDD, 2013B","WNF",NA
"499",95356,"DDD, 2014B","WNF",NA
"500",95746,"FFF, 2013J","D",6
"501",95755,"AAA, 2014J","WNF",NA
"502",95906,"CCC, 2014B","HD",7
"503",96117,"GGG, 2013J","D",6
"504",96423,"GGG, 2014B","D",6
"505",96475,"BBB, 2013J","D",6
"506",96538,"CCC, 2014B","F",1.5
"507",96592,"DDD, 2013B","D",6
"508",96729,"FFF, 2013B","D",6
"509",96864,"CCC, 2014J","WNF",NA
"510",96873,"EEE, 2013J","HD",7
"511",96874,"CCC, 2014J","HD",7
"512",96874,"DDD, 2014J","Cr",5
"513",97006,"BBB, 2014B","D",6
"514",97154,"BBB, 2013B","HD",7
"515",97567,"BBB, 2013J","HD",7
"516",97865,"BBB, 2014B","WNF",NA
"517",97939,"DDD, 2014B","Cr",5
"518",98094,"AAA, 2013J","P",4
"519",98256,"FFF, 2014J","WNF",NA
"520",98268,"BBB, 2013J","D",6
"521",98313,"BBB, 2013B","D",6
"522",98452,"BBB, 2014J","WNF",NA
"523",98720,"BBB, 2013J","D",6
"524",98842,"BBB, 2014J","F",1.5
"525",99075,"DDD, 2014J","F",1.5
"526",99088,"BBB, 2014J","WNF",NA
"527",99151,"DDD, 2014B","F",1.5
"528",99670,"FFF, 2014B","HD",7
"529",99799,"BBB, 2014B","D",6
"530",99993,"FFF, 2013B","D",6
"531",100064,"FFF, 2013J","HD",7
"532",100282,"BBB, 2013J","WNF",NA
"533",100561,"DDD, 2014J","P",4
"534",100788,"CCC, 2014J","HD",7
"535",100788,"FFF, 2013J","D",6
"536",100893,"AAA, 2013J","Cr",5
"537",101116,"AAA, 2014J","D",6
"538",101217,"FFF, 2013J","WNF",NA
"539",101217,"FFF, 2014J","Cr",5
"540",101279,"DDD, 2014J","P",4
"541",101306,"FFF, 2013B","F",1.5
"542",101420,"FFF, 2013J","HD",7
"543",101634,"FFF, 2014B","D",6
"544",101781,"AAA, 2013J","Cr",5
"545",102028,"FFF, 2013J","HD",7
"546",102067,"BBB, 2014J","WNF",NA
"547",102209,"CCC, 2014J","WNF",NA
"548",102221,"DDD, 2014J","Cr",5
"549",102343,"FFF, 2013J","D",6
"550",102806,"AAA, 2013J","D",6
"551",102850,"DDD, 2013J","D",6
"552",102854,"FFF, 2014J","HD",7
"553",102952,"AAA, 2013J","D",6
"554",103496,"BBB, 2014J","P",4
"555",103535,"BBB, 2014B","D",6
"556",103800,"DDD, 2013J","P",4
"557",103904,"DDD, 2013B","D",6
"558",104054,"BBB, 2013B","HD",7
"559",104213,"FFF, 2013J","HD",7
"560",104316,"FFF, 2014B","Cr",5
"561",104476,"AAA, 2013J","D",6
"562",104480,"CCC, 2014J","D",6
"563",104643,"DDD, 2013J","D",6
"564",104772,"DDD, 2013J","WNF",NA
"565",104772,"DDD, 2014J","Cr",5
"566",105125,"FFF, 2014J","WNF",NA
"567",105168,"CCC, 2014J","D",6
"568",105168,"EEE, 2013J","HD",7
"569",105413,"CCC, 2014J","P",4
"570",105523,"CCC, 2014B","P",4
"571",105523,"DDD, 2013J","F",1.5
"572",105527,"BBB, 2013J","D",6
"573",105629,"FFF, 2013J","HD",7
"574",105851,"BBB, 2013J","HD",7
"575",105883,"BBB, 2013J","Cr",5
"576",105939,"FFF, 2014J","D",6
"577",106095,"BBB, 2014J","Cr",5
"578",106247,"AAA, 2013J","WNF",NA
"579",106553,"DDD, 2014J","P",4
"580",106577,"AAA, 2013J","P",4
"581",106588,"BBB, 2013J","D",6
"582",106793,"BBB, 2014J","F",1.5
"583",107028,"CCC, 2014B","WNF",NA
"584",107028,"FFF, 2013J","P",4
"585",107084,"FFF, 2013J","P",4
"586",107162,"FFF, 2013B","HD",7
"587",107339,"CCC, 2014B","Cr",5
"588",107339,"EEE, 2013J","HD",7
"589",107455,"FFF, 2014J","Cr",5
"590",107489,"AAA, 2014J","D",6
"591",107713,"BBB, 2014B","WNF",NA
"592",107883,"CCC, 2014J","WNF",NA
"593",108118,"BBB, 2013J","D",6
"594",108207,"FFF, 2014B","Cr",5
"595",108281,"EEE, 2014J","HD",7
"596",108330,"FFF, 2013B","P",4
"597",108377,"BBB, 2013B","D",6
"598",108497,"EEE, 2014J","D",6
"599",108565,"DDD, 2013B","WNF",NA
"600",108589,"BBB, 2013B","D",6
"601",108760,"BBB, 2013J","P",4
"602",108789,"DDD, 2013J","F",1.5
"603",108799,"BBB, 2014B","D",6
"604",108822,"FFF, 2014B","HD",7
"605",108834,"CCC, 2014B","WNF",NA
"606",108859,"BBB, 2014J","Cr",5
"607",108872,"AAA, 2014J","P",4
"608",108949,"FFF, 2014B","WNF",NA
"609",108949,"FFF, 2014J","D",6
"610",109155,"AAA, 2014J","Cr",5
"611",109372,"BBB, 2013J","D",6
"612",109441,"BBB, 2014J","HD",7
"613",109577,"CCC, 2014J","F",1.5
"614",109577,"FFF, 2014J","Cr",5
"615",109772,"GGG, 2014B","D",6
"616",109782,"BBB, 2013J","WNF",NA
"617",109938,"BBB, 2013B","HD",7
"618",110085,"FFF, 2013B","P",4
"619",110116,"FFF, 2013B","D",6
"620",110175,"AAA, 2013J","P",4
"621",110200,"DDD, 2013B","P",4
"622",110524,"DDD, 2014J","Cr",5
"623",110529,"FFF, 2014B","WNF",NA
"624",110640,"DDD, 2014J","D",6
"625",110789,"EEE, 2014J","P",4
"626",110820,"FFF, 2014J","WNF",NA
"627",110881,"BBB, 2013B","Cr",5
"628",110881,"FFF, 2013J","Cr",5
"629",110911,"BBB, 2014J","Cr",5
"630",111113,"DDD, 2013B","F",1.5
"631",111360,"DDD, 2013B","WNF",NA
"632",111360,"DDD, 2013J","F",1.5
"633",111548,"DDD, 2013J","WNF",NA
"634",111717,"AAA, 2013J","D",6
"635",111775,"FFF, 2013B","HD",7
"636",111926,"DDD, 2013J","D",6
"637",111926,"DDD, 2014J","D",6
"638",111942,"BBB, 2013J","D",6
"639",111959,"DDD, 2014B","WNF",NA
"640",112245,"DDD, 2013B","Cr",5
"641",112441,"GGG, 2014B","HD",7
"642",112454,"CCC, 2014J","D",6
"643",113295,"AAA, 2013J","D",6
"644",113565,"FFF, 2013J","HD",7
"645",113698,"EEE, 2013J","P",4
"646",113702,"FFF, 2014J","WNF",NA
"647",113824,"EEE, 2013J","Cr",5
"648",114017,"AAA, 2013J","Cr",5
"649",114367,"CCC, 2014J","HD",7
"650",114402,"BBB, 2014J","HD",7
"651",114500,"FFF, 2013J","F",1.5
"652",114558,"DDD, 2013J","Cr",5
"653",114999,"AAA, 2013J","Cr",5
"654",115373,"FFF, 2013B","D",6
