"","vle_material_id","module_id","presentation_id","vle_resource_type"
"100",546919,"AAA","2013J","resource"
"101",546697,"AAA","2013J","oucontent"
"102",546984,"AAA","2013J","resource"
"103",546738,"AAA","2013J","oucontent"
"104",547020,"AAA","2013J","resource"
"105",546664,"AAA","2013J","oucontent"
"106",546694,"AAA","2013J","oucontent"
"107",546975,"AAA","2013J","resource"
"108",546735,"AAA","2013J","oucontent"
"109",547017,"AAA","2013J","resource"
"110",546660,"AAA","2013J","glossary"
"111",546916,"AAA","2013J","resource"
"112",546691,"AAA","2013J","oucontent"
"113",546971,"AAA","2013J","resource"
"114",546732,"AAA","2013J","oucontent"
"115",547013,"AAA","2013J","resource"
"116",546657,"AAA","2013J","forumng"
"117",546913,"AAA","2013J","resource"
"118",546688,"AAA","2013J","oucontent"
"119",546966,"AAA","2013J","resource"
"120",546726,"AAA","2013J","oucontent"
"121",547009,"AAA","2013J","resource"
"122",547050,"AAA","2013J","dataplus"
"123",546654,"AAA","2013J","forumng"
"124",546909,"AAA","2013J","resource"
"125",546685,"AAA","2013J","oucontent"
"126",546960,"AAA","2013J","resource"
"127",546721,"AAA","2013J","oucontent"
"128",547006,"AAA","2013J","resource"
"129",547047,"AAA","2013J","dataplus"
"130",546651,"AAA","2013J","forumng"
"131",546905,"AAA","2013J","url"
"132",546952,"AAA","2013J","resource"
"133",546716,"AAA","2013J","oucontent"
"134",547003,"AAA","2013J","resource"
"135",547040,"AAA","2013J","resource"
"136",546648,"AAA","2013J","forumng"
"137",546901,"AAA","2013J","url"
"138",546682,"AAA","2013J","oucontent"
"139",546947,"AAA","2013J","resource"
"140",546713,"AAA","2013J","oucontent"
"141",547000,"AAA","2013J","resource"
"142",546889,"AAA","2013J","url"
"143",547036,"AAA","2013J","resource"
"144",546644,"AAA","2013J","forumng"
"145",546898,"AAA","2013J","url"
"146",546679,"AAA","2013J","oucontent"
"147",546935,"AAA","2013J","resource"
"148",546709,"AAA","2013J","oucontent"
"149",546996,"AAA","2013J","resource"
"150",546885,"AAA","2013J","url"
"151",547032,"AAA","2013J","resource"
"152",546894,"AAA","2013J","url"
"153",546676,"AAA","2013J","oucontent"
"154",546928,"AAA","2013J","resource"
"155",546706,"AAA","2013J","oucontent"
"156",546992,"AAA","2013J","resource"
"157",546879,"AAA","2013J","subpage"
"158",547028,"AAA","2013J","resource"
"159",546672,"AAA","2013J","oucontent"
"160",546924,"AAA","2013J","resource"
"161",546703,"AAA","2013J","oucontent"
"162",546989,"AAA","2013J","resource"
"163",546873,"AAA","2013J","subpage"
"164",547025,"AAA","2013J","resource"
"165",546669,"AAA","2013J","oucontent"
"166",546921,"AAA","2013J","resource"
"167",546700,"AAA","2013J","oucontent"
"168",546986,"AAA","2013J","resource"
"169",546740,"AAA","2013J","oucontent"
"170",547022,"AAA","2013J","resource"
"171",546666,"AAA","2013J","oucontent"
"172",546918,"AAA","2013J","resource"
"173",546696,"AAA","2013J","oucontent"
"174",546983,"AAA","2013J","resource"
"175",546737,"AAA","2013J","oucontent"
"176",547019,"AAA","2013J","resource"
"177",546662,"AAA","2013J","oucontent"
"178",546693,"AAA","2013J","oucontent"
"179",546974,"AAA","2013J","resource"
"180",546734,"AAA","2013J","oucontent"
"181",547015,"AAA","2013J","resource"
"182",546659,"AAA","2013J","forumng"
"183",546915,"AAA","2013J","resource"
"184",546690,"AAA","2013J","oucontent"
"185",546970,"AAA","2013J","resource"
"186",546731,"AAA","2013J","oucontent"
"187",547012,"AAA","2013J","resource"
"188",547067,"AAA","2013J","oucollaborate"
"189",546656,"AAA","2013J","forumng"
"190",546911,"AAA","2013J","resource"
"191",546687,"AAA","2013J","oucontent"
"192",546965,"AAA","2013J","resource"
"193",546725,"AAA","2013J","oucontent"
"194",547008,"AAA","2013J","resource"
"195",547049,"AAA","2013J","dataplus"
"196",546653,"AAA","2013J","forumng"
"197",546907,"AAA","2013J","resource"
"198",546955,"AAA","2013J","resource"
"199",546719,"AAA","2013J","oucontent"
"200",547005,"AAA","2013J","resource"
"201",547043,"AAA","2013J","resource"
"202",546650,"AAA","2013J","forumng"
"203",546904,"AAA","2013J","url"
"204",546684,"AAA","2013J","oucontent"
"205",546949,"AAA","2013J","resource"
"206",546715,"AAA","2013J","oucontent"
"207",547002,"AAA","2013J","resource"
"208",547038,"AAA","2013J","resource"
"209",546647,"AAA","2013J","forumng"
"210",546900,"AAA","2013J","url"
"211",546681,"AAA","2013J","oucontent"
"212",877162,"AAA","2014J","resource"
"213",877223,"AAA","2014J","resource"
"214",877032,"AAA","2014J","oucontent"
"215",877263,"AAA","2014J","resource"
"216",877064,"AAA","2014J","oucontent"
"217",877098,"AAA","2014J","oucontent"
"218",877157,"AAA","2014J","resource"
"219",877220,"AAA","2014J","resource"
"220",877029,"AAA","2014J","glossary"
"221",877260,"AAA","2014J","resource"
"222",877061,"AAA","2014J","oucontent"
"223",1032910,"AAA","2014J","url"
"224",877094,"AAA","2014J","oucontent"
"225",877154,"AAA","2014J","resource"
"226",877217,"AAA","2014J","resource"
"227",877025,"AAA","2014J","forumng"
"228",877256,"AAA","2014J","resource"
"229",877058,"AAA","2014J","oucontent"
"230",877423,"AAA","2014J","dataplus"
"231",877091,"AAA","2014J","oucontent"
"232",877151,"AAA","2014J","resource"
"233",877214,"AAA","2014J","resource"
"234",877012,"AAA","2014J","forumng"
"235",877253,"AAA","2014J","resource"
"236",877055,"AAA","2014J","oucontent"
"237",877420,"AAA","2014J","dataplus"
"238",877088,"AAA","2014J","oucontent"
"239",877148,"AAA","2014J","resource"
"240",877211,"AAA","2014J","resource"
"241",877247,"AAA","2014J","resource"
"242",877052,"AAA","2014J","oucontent"
"243",877402,"AAA","2014J","url"
"244",877085,"AAA","2014J","oucontent"
"245",877145,"AAA","2014J","resource"
"246",877208,"AAA","2014J","resource"
"247",877244,"AAA","2014J","resource"
"248",877049,"AAA","2014J","oucontent"
"249",877397,"AAA","2014J","url"
"250",877081,"AAA","2014J","oucontent"
"251",877142,"AAA","2014J","resource"
"252",877203,"AAA","2014J","resource"
"253",877241,"AAA","2014J","resource"
"254",877046,"AAA","2014J","oucontent"
"255",877394,"AAA","2014J","url"
"256",877078,"AAA","2014J","oucontent"
"257",877197,"AAA","2014J","resource"
"258",877237,"AAA","2014J","resource"
"259",877043,"AAA","2014J","oucontent"
"260",877387,"AAA","2014J","url"
"261",877075,"AAA","2014J","oucontent"
"262",877139,"AAA","2014J","resource"
"263",877190,"AAA","2014J","resource"
"264",877233,"AAA","2014J","resource"
"265",877040,"AAA","2014J","oucontent"
"266",877384,"AAA","2014J","url"
"267",877072,"AAA","2014J","oucontent"
"268",877135,"AAA","2014J","subpage"
"269",877184,"AAA","2014J","resource"
"270",877229,"AAA","2014J","resource"
"271",877037,"AAA","2014J","oucontent"
"272",877380,"AAA","2014J","oucollaborate"
"273",877069,"AAA","2014J","oucontent"
"274",877132,"AAA","2014J","subpage"
"275",877172,"AAA","2014J","resource"
"276",877225,"AAA","2014J","resource"
"277",877034,"AAA","2014J","oucontent"
"278",877265,"AAA","2014J","resource"
"279",877066,"AAA","2014J","oucontent"
"280",877100,"AAA","2014J","oucontent"
"281",877159,"AAA","2014J","resource"
"282",877222,"AAA","2014J","resource"
"283",877031,"AAA","2014J","oucontent"
"284",877262,"AAA","2014J","resource"
"285",877063,"AAA","2014J","oucontent"
"286",1072237,"AAA","2014J","url"
"287",877096,"AAA","2014J","oucontent"
"288",877156,"AAA","2014J","resource"
"289",877219,"AAA","2014J","resource"
"290",877028,"AAA","2014J","glossary"
"291",877259,"AAA","2014J","resource"
"292",877060,"AAA","2014J","oucontent"
"293",1027118,"AAA","2014J","url"
"294",877093,"AAA","2014J","oucontent"
"295",877153,"AAA","2014J","resource"
"296",877216,"AAA","2014J","resource"
"297",877023,"AAA","2014J","forumng"
"298",877255,"AAA","2014J","resource"
"299",877057,"AAA","2014J","oucontent"
"300",877422,"AAA","2014J","dataplus"
"301",877090,"AAA","2014J","oucontent"
"302",877150,"AAA","2014J","resource"
"303",877213,"AAA","2014J","resource"
"304",877011,"AAA","2014J","forumng"
"305",877252,"AAA","2014J","resource"
"306",877054,"AAA","2014J","oucontent"
"307",877404,"AAA","2014J","url"
"308",877087,"AAA","2014J","oucontent"
"309",877147,"AAA","2014J","resource"
"310",877210,"AAA","2014J","resource"
"311",877246,"AAA","2014J","resource"
"312",877051,"AAA","2014J","oucontent"
"313",877399,"AAA","2014J","url"
"314",877084,"AAA","2014J","oucontent"
"315",877144,"AAA","2014J","resource"
"316",877207,"AAA","2014J","resource"
"317",877243,"AAA","2014J","resource"
"318",877048,"AAA","2014J","oucontent"
"319",877396,"AAA","2014J","url"
"320",877080,"AAA","2014J","oucontent"
"321",877141,"AAA","2014J","resource"
"322",877199,"AAA","2014J","resource"
"323",877240,"AAA","2014J","resource"
"324",877045,"AAA","2014J","oucontent"
"325",877393,"AAA","2014J","url"
"326",877077,"AAA","2014J","oucontent"
"327",877196,"AAA","2014J","resource"
"328",877236,"AAA","2014J","resource"
"329",877042,"AAA","2014J","oucontent"
"330",877386,"AAA","2014J","url"
"331",877074,"AAA","2014J","oucontent"
"332",877138,"AAA","2014J","resource"
"333",877187,"AAA","2014J","resource"
"334",877231,"AAA","2014J","resource"
"335",877039,"AAA","2014J","oucontent"
"336",877383,"AAA","2014J","url"
"337",877071,"AAA","2014J","oucontent"
"338",877134,"AAA","2014J","subpage"
"339",877182,"AAA","2014J","resource"
"340",877228,"AAA","2014J","resource"
"341",877036,"AAA","2014J","oucontent"
"342",877379,"AAA","2014J","oucollaborate"
"343",877068,"AAA","2014J","oucontent"
"344",877129,"AAA","2014J","subpage"
"345",877168,"AAA","2014J","resource"
"346",877224,"AAA","2014J","resource"
"347",877033,"AAA","2014J","oucontent"
"348",877264,"AAA","2014J","resource"
"349",877065,"AAA","2014J","oucontent"
"350",877099,"AAA","2014J","oucontent"
"351",877158,"AAA","2014J","resource"
"352",877221,"AAA","2014J","resource"
"353",877030,"AAA","2014J","homepage"
"354",877261,"AAA","2014J","resource"
"355",877062,"AAA","2014J","oucontent"
"356",1072236,"AAA","2014J","resource"
"357",877095,"AAA","2014J","oucontent"
"358",877155,"AAA","2014J","resource"
"359",877218,"AAA","2014J","resource"
"360",877026,"AAA","2014J","forumng"
"361",877258,"AAA","2014J","resource"
"362",877059,"AAA","2014J","oucontent"
"363",1010323,"AAA","2014J","resource"
"364",877092,"AAA","2014J","oucontent"
"365",877152,"AAA","2014J","resource"
"366",877215,"AAA","2014J","resource"
"367",877015,"AAA","2014J","forumng"
"368",877254,"AAA","2014J","resource"
"369",877056,"AAA","2014J","oucontent"
"370",877421,"AAA","2014J","dataplus"
"371",877089,"AAA","2014J","oucontent"
"372",877149,"AAA","2014J","resource"
"373",877212,"AAA","2014J","resource"
"374",877248,"AAA","2014J","resource"
"375",877053,"AAA","2014J","oucontent"
"376",877403,"AAA","2014J","url"
"377",877086,"AAA","2014J","oucontent"
"378",877146,"AAA","2014J","resource"
"379",877209,"AAA","2014J","resource"
"380",877245,"AAA","2014J","resource"
"381",877050,"AAA","2014J","oucontent"
"382",877398,"AAA","2014J","url"
"383",877082,"AAA","2014J","oucontent"
"384",877143,"AAA","2014J","resource"
"385",877206,"AAA","2014J","resource"
"386",877242,"AAA","2014J","resource"
"387",877047,"AAA","2014J","oucontent"
"388",877395,"AAA","2014J","url"
"389",877079,"AAA","2014J","oucontent"
"390",877198,"AAA","2014J","resource"
"391",877238,"AAA","2014J","resource"
"392",877044,"AAA","2014J","oucontent"
"393",877392,"AAA","2014J","url"
"394",877076,"AAA","2014J","oucontent"
"395",877140,"AAA","2014J","resource"
"396",877195,"AAA","2014J","resource"
"397",877234,"AAA","2014J","resource"
"398",877041,"AAA","2014J","oucontent"
"399",877385,"AAA","2014J","url"
"400",877073,"AAA","2014J","oucontent"
"401",877137,"AAA","2014J","resource"
"402",877186,"AAA","2014J","resource"
"403",877230,"AAA","2014J","resource"
"404",877038,"AAA","2014J","oucontent"
"405",877381,"AAA","2014J","url"
"406",877070,"AAA","2014J","oucontent"
"407",877133,"AAA","2014J","subpage"
"408",877180,"AAA","2014J","resource"
"409",877227,"AAA","2014J","resource"
"410",877035,"AAA","2014J","oucontent"
"411",877266,"AAA","2014J","resource"
"412",877067,"AAA","2014J","oucontent"
"413",877128,"AAA","2014J","subpage"
"414",543306,"BBB","2013B","resource"
"415",542803,"BBB","2013B","forumng"
"416",543170,"BBB","2013B","resource"
"417",543040,"BBB","2013B","subpage"
"418",543202,"BBB","2013B","resource"
"419",543074,"BBB","2013B","subpage"
"420",543236,"BBB","2013B","resource"
"421",543106,"BBB","2013B","resource"
"422",543274,"BBB","2013B","resource"
"423",543138,"BBB","2013B","resource"
"424",542799,"BBB","2013B","forumng"
"425",543167,"BBB","2013B","resource"
"426",543037,"BBB","2013B","url"
"427",543199,"BBB","2013B","resource"
"428",543071,"BBB","2013B","subpage"
"429",543233,"BBB","2013B","resource"
"430",543103,"BBB","2013B","resource"
"431",543271,"BBB","2013B","resource"
"432",543135,"BBB","2013B","resource"
"433",543303,"BBB","2013B","resource"
"434",542796,"BBB","2013B","forumng"
"435",543164,"BBB","2013B","resource"
"436",543031,"BBB","2013B","url"
"437",543196,"BBB","2013B","resource"
"438",543067,"BBB","2013B","subpage"
"439",543230,"BBB","2013B","resource"
"440",543100,"BBB","2013B","resource"
"441",543268,"BBB","2013B","resource"
"442",543132,"BBB","2013B","resource"
"443",543300,"BBB","2013B","resource"
"444",542792,"BBB","2013B","forumng"
"445",543161,"BBB","2013B","resource"
"446",543027,"BBB","2013B","url"
"447",543193,"BBB","2013B","resource"
"448",543063,"BBB","2013B","subpage"
"449",543227,"BBB","2013B","resource"
"450",543097,"BBB","2013B","resource"
"451",543259,"BBB","2013B","resource"
"452",543265,"BBB","2013B","resource"
"453",543129,"BBB","2013B","resource"
"454",543297,"BBB","2013B","resource"
"455",543158,"BBB","2013B","resource"
"456",543024,"BBB","2013B","url"
"457",543190,"BBB","2013B","resource"
"458",543060,"BBB","2013B","subpage"
"459",543224,"BBB","2013B","resource"
"460",543094,"BBB","2013B","resource"
"461",543256,"BBB","2013B","resource"
"462",543262,"BBB","2013B","resource"
"463",543126,"BBB","2013B","resource"
"464",543294,"BBB","2013B","resource"
"465",543155,"BBB","2013B","resource"
"466",543021,"BBB","2013B","url"
"467",543187,"BBB","2013B","resource"
"468",543057,"BBB","2013B","subpage"
"469",543221,"BBB","2013B","resource"
"470",543091,"BBB","2013B","resource"
"471",543253,"BBB","2013B","resource"
"472",543123,"BBB","2013B","resource"
"473",543291,"BBB","2013B","resource"
"474",543152,"BBB","2013B","resource"
"475",542894,"BBB","2013B","quiz"
"476",543184,"BBB","2013B","resource"
"477",543054,"BBB","2013B","subpage"
"478",543217,"BBB","2013B","resource"
"479",543088,"BBB","2013B","resource"
"480",543250,"BBB","2013B","resource"
"481",543120,"BBB","2013B","resource"
"482",543288,"BBB","2013B","resource"
"483",543324,"BBB","2013B","ouelluminate"
"484",542891,"BBB","2013B","quiz"
"485",543181,"BBB","2013B","resource"
"486",543051,"BBB","2013B","subpage"
"487",543213,"BBB","2013B","resource"
"488",543085,"BBB","2013B","resource"
"489",543247,"BBB","2013B","resource"
"490",543117,"BBB","2013B","resource"
"491",543285,"BBB","2013B","resource"
"492",543149,"BBB","2013B","resource"
"493",543314,"BBB","2013B","resource"
"494",542812,"BBB","2013B","glossary"
"495",543178,"BBB","2013B","resource"
"496",543048,"BBB","2013B","subpage"
"497",543210,"BBB","2013B","resource"
"498",543082,"BBB","2013B","resource"
"499",543244,"BBB","2013B","resource"
"500",543114,"BBB","2013B","resource"
"501",543282,"BBB","2013B","resource"
"502",543146,"BBB","2013B","resource"
"503",543311,"BBB","2013B","resource"
"504",542808,"BBB","2013B","forumng"
"505",543175,"BBB","2013B","resource"
"506",543045,"BBB","2013B","subpage"
"507",543207,"BBB","2013B","resource"
"508",543079,"BBB","2013B","resource"
"509",543241,"BBB","2013B","resource"
"510",543111,"BBB","2013B","resource"
"511",543279,"BBB","2013B","resource"
"512",543143,"BBB","2013B","resource"
"513",543308,"BBB","2013B","resource"
"514",542805,"BBB","2013B","forumng"
"515",543172,"BBB","2013B","resource"
"516",543042,"BBB","2013B","subpage"
"517",543204,"BBB","2013B","resource"
"518",543076,"BBB","2013B","subpage"
"519",543238,"BBB","2013B","resource"
"520",543108,"BBB","2013B","resource"
"521",543276,"BBB","2013B","resource"
"522",543140,"BBB","2013B","resource"
"523",542802,"BBB","2013B","forumng"
"524",543169,"BBB","2013B","resource"
"525",543039,"BBB","2013B","subpage"
"526",543201,"BBB","2013B","resource"
"527",543073,"BBB","2013B","subpage"
"528",543235,"BBB","2013B","resource"
"529",543105,"BBB","2013B","resource"
"530",543273,"BBB","2013B","resource"
"531",543137,"BBB","2013B","resource"
"532",543305,"BBB","2013B","resource"
"533",542798,"BBB","2013B","forumng"
"534",543166,"BBB","2013B","resource"
"535",543036,"BBB","2013B","url"
"536",543198,"BBB","2013B","resource"
"537",543069,"BBB","2013B","subpage"
"538",543232,"BBB","2013B","resource"
"539",543102,"BBB","2013B","resource"
"540",543270,"BBB","2013B","resource"
"541",543134,"BBB","2013B","resource"
"542",543302,"BBB","2013B","resource"
"543",542795,"BBB","2013B","forumng"
"544",543163,"BBB","2013B","resource"
"545",543029,"BBB","2013B","url"
"546",543195,"BBB","2013B","resource"
"547",543066,"BBB","2013B","subpage"
"548",543229,"BBB","2013B","resource"
"549",543099,"BBB","2013B","resource"
"550",543261,"BBB","2013B","resource"
"551",543267,"BBB","2013B","resource"
"552",543131,"BBB","2013B","resource"
"553",543299,"BBB","2013B","resource"
"554",543160,"BBB","2013B","resource"
"555",543026,"BBB","2013B","url"
"556",543192,"BBB","2013B","resource"
"557",543062,"BBB","2013B","subpage"
"558",543226,"BBB","2013B","resource"
"559",543096,"BBB","2013B","resource"
"560",543258,"BBB","2013B","resource"
"561",543264,"BBB","2013B","resource"
"562",543128,"BBB","2013B","resource"
"563",543296,"BBB","2013B","resource"
"564",543157,"BBB","2013B","resource"
"565",543023,"BBB","2013B","url"
"566",543189,"BBB","2013B","resource"
"567",543059,"BBB","2013B","subpage"
"568",543223,"BBB","2013B","resource"
"569",543093,"BBB","2013B","resource"
"570",543255,"BBB","2013B","resource"
"571",543125,"BBB","2013B","resource"
"572",543293,"BBB","2013B","resource"
"573",543154,"BBB","2013B","resource"
"574",543020,"BBB","2013B","url"
"575",543186,"BBB","2013B","resource"
"576",543056,"BBB","2013B","subpage"
"577",543220,"BBB","2013B","resource"
"578",543090,"BBB","2013B","resource"
"579",543252,"BBB","2013B","resource"
"580",543122,"BBB","2013B","resource"
"581",543290,"BBB","2013B","resource"
"582",542893,"BBB","2013B","quiz"
"583",543183,"BBB","2013B","resource"
"584",543053,"BBB","2013B","subpage"
"585",543215,"BBB","2013B","resource"
"586",543087,"BBB","2013B","resource"
"587",543249,"BBB","2013B","resource"
"588",543119,"BBB","2013B","resource"
"589",543287,"BBB","2013B","resource"
"590",543151,"BBB","2013B","resource"
"591",543322,"BBB","2013B","sharedsubpage"
"592",542889,"BBB","2013B","oucontent"
"593",543180,"BBB","2013B","resource"
"594",543050,"BBB","2013B","subpage"
"595",543212,"BBB","2013B","resource"
"596",543084,"BBB","2013B","resource"
"597",543246,"BBB","2013B","resource"
"598",543116,"BBB","2013B","resource"
"599",543284,"BBB","2013B","resource"
"600",543148,"BBB","2013B","resource"
"601",543313,"BBB","2013B","resource"
"602",542811,"BBB","2013B","forumng"
"603",543177,"BBB","2013B","resource"
"604",543047,"BBB","2013B","subpage"
"605",543209,"BBB","2013B","resource"
"606",543081,"BBB","2013B","resource"
"607",543243,"BBB","2013B","resource"
"608",543113,"BBB","2013B","resource"
"609",543281,"BBB","2013B","resource"
"610",543145,"BBB","2013B","resource"
"611",543310,"BBB","2013B","resource"
"612",542807,"BBB","2013B","forumng"
"613",543174,"BBB","2013B","resource"
"614",543044,"BBB","2013B","subpage"
"615",543206,"BBB","2013B","resource"
"616",543078,"BBB","2013B","resource"
"617",543240,"BBB","2013B","resource"
"618",543110,"BBB","2013B","resource"
"619",543278,"BBB","2013B","resource"
"620",543142,"BBB","2013B","resource"
"621",543307,"BBB","2013B","resource"
"622",542804,"BBB","2013B","forumng"
"623",543171,"BBB","2013B","resource"
"624",543041,"BBB","2013B","subpage"
"625",543203,"BBB","2013B","resource"
"626",543075,"BBB","2013B","subpage"
"627",543237,"BBB","2013B","resource"
"628",543107,"BBB","2013B","resource"
"629",543275,"BBB","2013B","resource"
"630",543139,"BBB","2013B","resource"
"631",542800,"BBB","2013B","forumng"
"632",543168,"BBB","2013B","resource"
"633",543038,"BBB","2013B","url"
"634",543200,"BBB","2013B","resource"
"635",543072,"BBB","2013B","subpage"
"636",543234,"BBB","2013B","resource"
"637",543104,"BBB","2013B","resource"
"638",543272,"BBB","2013B","resource"
"639",543136,"BBB","2013B","resource"
"640",543304,"BBB","2013B","resource"
"641",542797,"BBB","2013B","forumng"
"642",543165,"BBB","2013B","resource"
"643",543032,"BBB","2013B","url"
"644",543197,"BBB","2013B","resource"
"645",543068,"BBB","2013B","subpage"
"646",543231,"BBB","2013B","resource"
"647",543101,"BBB","2013B","resource"
"648",543269,"BBB","2013B","resource"
"649",543133,"BBB","2013B","resource"
"650",543301,"BBB","2013B","resource"
"651",542794,"BBB","2013B","forumng"
"652",543162,"BBB","2013B","resource"
"653",543028,"BBB","2013B","url"
"654",543194,"BBB","2013B","resource"
"655",543065,"BBB","2013B","subpage"
"656",543228,"BBB","2013B","resource"
"657",543098,"BBB","2013B","resource"
"658",543260,"BBB","2013B","resource"
"659",543266,"BBB","2013B","resource"
"660",543130,"BBB","2013B","resource"
"661",543298,"BBB","2013B","resource"
"662",543159,"BBB","2013B","resource"
"663",543025,"BBB","2013B","url"
"664",543191,"BBB","2013B","resource"
"665",543061,"BBB","2013B","subpage"
"666",543225,"BBB","2013B","resource"
"667",543095,"BBB","2013B","resource"
"668",543257,"BBB","2013B","resource"
"669",543263,"BBB","2013B","resource"
"670",543127,"BBB","2013B","resource"
"671",543295,"BBB","2013B","resource"
"672",543156,"BBB","2013B","resource"
"673",543022,"BBB","2013B","url"
"674",543188,"BBB","2013B","resource"
"675",543058,"BBB","2013B","subpage"
"676",543222,"BBB","2013B","resource"
"677",543092,"BBB","2013B","resource"
"678",543254,"BBB","2013B","resource"
"679",543124,"BBB","2013B","resource"
"680",543292,"BBB","2013B","resource"
"681",543153,"BBB","2013B","resource"
"682",542895,"BBB","2013B","quiz"
"683",543185,"BBB","2013B","resource"
"684",543055,"BBB","2013B","subpage"
"685",543218,"BBB","2013B","resource"
"686",543089,"BBB","2013B","resource"
"687",543251,"BBB","2013B","resource"
"688",543121,"BBB","2013B","resource"
"689",543289,"BBB","2013B","resource"
"690",542892,"BBB","2013B","quiz"
"691",543182,"BBB","2013B","resource"
"692",543052,"BBB","2013B","subpage"
"693",543214,"BBB","2013B","resource"
"694",543086,"BBB","2013B","resource"
"695",543248,"BBB","2013B","resource"
"696",543118,"BBB","2013B","resource"
"697",543286,"BBB","2013B","resource"
"698",543150,"BBB","2013B","resource"
"699",543315,"BBB","2013B","resource"
"700",542864,"BBB","2013B","homepage"
"701",543179,"BBB","2013B","resource"
"702",543049,"BBB","2013B","subpage"
"703",543211,"BBB","2013B","resource"
"704",543083,"BBB","2013B","resource"
"705",543245,"BBB","2013B","resource"
"706",543115,"BBB","2013B","resource"
"707",543283,"BBB","2013B","resource"
"708",543147,"BBB","2013B","resource"
"709",543312,"BBB","2013B","resource"
"710",542810,"BBB","2013B","forumng"
"711",543176,"BBB","2013B","resource"
"712",543046,"BBB","2013B","subpage"
"713",543208,"BBB","2013B","resource"
"714",543080,"BBB","2013B","resource"
